route,period,passengers,is_eid_holiday,is_school_year_end,is_year_end_holiday
4A,2025-11-01,27435.0,0,0,0
4A,2025-12-01,26237.0,0,0,1
4B,2023-01-01,5788.0,0,0,0
4B,2023-02-01,5917.0,0,0,0
4B,2023-03-01,6261.0,0,0,0
4B,2023-04-01,5256.0,1,0,0
4B,2023-05-01,6984.0,0,0,0
4B,2023-06-01,5622.0,0,1,0
4B,2023-07-01,6197.0,0,1,0
4B,2023-08-01,6933.0,0,0,0
4B,2023-09-01,7750.0,0,0,0
4B,2023-10-01,8189.0,0,0,0
4B,2023-11-01,8398.0,0,0,0
4B,2023-12-01,8289.0,0,0,1
4B,2024-01-01,6960.0,0,0,0
4B,2024-02-01,8928.0,0,0,0
4B,2024-03-01,9627.0,0,0,0
4B,2024-04-01,9078.0,1,0,0
4B,2024-05-01,18089.0,0,0,0
4B,2024-06-01,10798.0,0,1,0
4B,2024-07-01,13493.0,0,1,0
4B,2024-08-01,15673.0,0,0,0
4B,2024-09-01,16784.0,0,0,0
4B,2024-10-01,17793.0,0,0,0
4B,2024-11-01,16918.0,0,0,0
4B,2024-12-01,12789.0,0,0,1
4B,2025-01-01,15158.0,0,0,0
4B,2025-02-01,16460.0,0,0,0
4B,2025-03-01,11487.0,1,0,0
4B,2025-04-01,12506.0,1,0,0
4B,2025-05-01,16013.0,0,0,0
4B,2025-06-01,13094.0,0,1,0
4B,2025-07-01,12921.0,0,1,0
4B,2025-08-01,13461.0,0,0,0
4B,2025-09-01,15163.0,0,0,0
4B,2025-10-01,16399.0,0,0,0
4B,2025-11-01,16521.0,0,0,0
4B,2025-12-01,29395.0,0,0,1
5A,2023-01-01,8789.0,0,0,0
5A,2023-02-01,8438.0,0,0,0
5A,2023-03-01,9121.0,0,0,0
5A,2023-04-01,6785.0,1,0,0
5A,2023-05-01,8965.0,0,0,0
5A,2023-06-01,7856.0,0,1,0
5A,2023-07-01,9520.0,0,1,0
5A,2023-08-01,11341.0,0,0,0
5A,2023-09-01,11868.0,0,0,0
5A,2023-10-01,12143.0,0,0,0
5A,2023-11-01,12819.0,0,0,0
5A,2023-12-01,12437.0,0,0,1
5A,2024-01-01,11348.0,0,0,0
5A,2024-02-01,14711.0,0,0,0
5A,2024-03-01,14847.0,0,0,0
5A,2024-04-01,14206.0,1,0,0
5A,2024-05-01,15281.0,0,0,0
5A,2024-06-01,14744.0,0,1,0
5A,2024-07-01,15469.0,0,1,0
5A,2024-08-01,16770.0,0,0,0
5A,2024-09-01,16412.0,0,0,0
5A,2024-10-01,19084.0,0,0,0
5A,2024-11-01,22533.0,0,0,0
